origin,strategy,communication_noise_multiplier,local_noise,communication_primitive,num_qubits,circuit_depth,partitioned_depth,num_partitions_requested,num_partitions_tested,noise_free_expectation,noisy_expectation,zne_expectation,noisy_error,zne_error,error_reduction,partition_time,shots,seed
grover-v-chain_indep_9q,global,1.2,0.001,cat,9,800,841,2,2,-0.00999999999999994,-0.04999999999999999,0.010000000000000026,0.04000000000000005,0.019999999999999966,0.5000000000000014,0.0800790786743164,200,
grover-v-chain_indep_9q,global,1.0,0.005,cat,9,800,841,2,2,-0.039999999999999994,0.0,0.0,0.039999999999999994,0.039999999999999994,0.0,0.07898807525634766,200,
grover-v-chain_indep_9q,global,1.1,0.005,cat,9,800,841,2,2,0.030000000000000013,-0.06999999999999998,-0.11000000000000003,0.09999999999999999,0.14000000000000004,-0.4000000000000005,0.08013319969177246,200,
grover-v-chain_indep_9q,global,1.2,0.005,cat,9,800,841,2,2,0.020000000000000028,-0.01999999999999999,-0.04000000000000001,0.04000000000000002,0.06000000000000004,-0.5000000000000002,0.08029913902282715,200,
grover-v-chain_indep_9q,global,1.0,0.01,cat,9,800,841,2,2,-0.009999999999999953,-0.08,0.010000000000000103,0.07000000000000005,0.020000000000000056,0.7142857142857136,0.17177605628967285,200,
grover-v-chain_indep_9q,global,1.1,0.01,cat,9,800,841,2,2,0.059999999999999984,-0.05000000000000004,0.02000000000000001,0.11000000000000001,0.03999999999999997,0.6363636363636366,0.07987570762634277,200,
grover-v-chain_indep_9q,global,1.2,0.01,cat,9,800,841,2,2,0.09000000000000001,-0.050000000000000044,0.020000000000000018,0.14000000000000007,0.06999999999999999,0.5000000000000003,0.07842302322387695,200,
grover-v-chain_indep_9q,global,1.0,0.02,cat,9,800,841,2,2,0.010000000000000002,-0.030000000000000013,0.0,0.040000000000000015,0.010000000000000002,0.75,0.08187007904052734,200,
grover-v-chain_indep_9q,global,1.1,0.02,cat,9,800,841,2,2,-0.03999999999999998,-0.03,0.14,0.009999999999999981,0.18,-17.000000000000032,0.07896614074707031,200,
grover-v-chain_indep_9q,global,1.2,0.02,cat,9,800,841,2,2,0.05999999999999994,-0.040000000000000036,-4.163336342344337e-17,0.09999999999999998,0.059999999999999984,0.4,0.07880711555480957,200,
pricingcall_indep_5q,global,1.0,0.001,cat,5,35,38,2,2,-0.22999999999999998,-0.05000000000000002,-0.18500000000000003,0.17999999999999997,0.04499999999999996,0.7500000000000002,0.0035898685455322266,200,
pricingcall_indep_5q,global,1.0,0.001,cat,5,35,33,4,4,-0.22,-0.1,0.08666666666666663,0.12,0.30666666666666664,-1.5555555555555554,0.0034339427947998047,200,
pricingcall_indep_5q,global,1.1,0.001,cat,5,35,38,2,2,-0.28,-0.03,-0.20666666666666667,0.25,0.07333333333333336,0.7066666666666666,0.003407001495361328,200,
pricingcall_indep_5q,global,1.1,0.001,cat,5,35,33,4,4,-0.19,0.029999999999999943,-0.04000000000000001,0.21999999999999995,0.15,0.31818181818181807,0.003796815872192383,200,
pricingcall_indep_5q,global,1.2,0.001,cat,5,35,38,2,2,-0.32,-0.02999999999999997,-0.11499999999999996,0.29000000000000004,0.20500000000000004,0.293103448275862,0.004248619079589844,200,
pricingcall_indep_5q,global,1.2,0.001,cat,5,35,33,4,4,-0.13999999999999999,-0.009999999999999953,0.07000000000000003,0.13000000000000003,0.21000000000000002,-0.6153846153846151,0.004337787628173828,200,
pricingcall_indep_5q,global,1.0,0.005,cat,5,35,38,2,2,-0.36,-0.03999999999999995,0.0483333333333335,0.32000000000000006,0.4083333333333335,-0.2760416666666669,0.004396200180053711,200,
pricingcall_indep_5q,global,1.0,0.005,cat,5,35,33,4,4,-0.32000000000000006,0.08999999999999998,-0.12666666666666668,0.41000000000000003,0.19333333333333338,0.5284552845528454,0.0039789676666259766,200,
pricingcall_indep_5q,global,1.1,0.005,cat,5,35,38,2,2,-0.20000000000000004,-0.11000000000000004,0.055000000000000174,0.09,0.2550000000000002,-1.833333333333336,0.004284858703613281,200,
pricingcall_indep_5q,global,1.1,0.005,cat,5,35,33,4,4,-0.2,0.06,0.01666666666666683,0.26,0.21666666666666684,0.16666666666666602,0.0039081573486328125,200,
pricingcall_indep_5q,global,1.2,0.005,cat,5,35,38,2,2,-0.22000000000000003,-0.03999999999999998,0.009999999999999981,0.18000000000000005,0.23,-0.2777777777777775,0.004689931869506836,200,
pricingcall_indep_5q,global,1.2,0.005,cat,5,35,33,4,4,-0.32,0.06,-0.04999999999999999,0.38,0.27,0.28947368421052627,0.0038230419158935547,200,
pricingcall_indep_5q,global,1.1,0.01,cat,5,35,38,2,2,-0.22,-0.06,-0.06333333333333328,0.16,0.15666666666666673,0.020833333333332947,0.0044019222259521484,200,
pricingcall_indep_5q,global,1.1,0.01,cat,5,35,33,4,4,-0.21999999999999997,-0.04000000000000001,-0.018333333333333035,0.17999999999999997,0.20166666666666694,-0.1203703703703721,0.00510096549987793,200,
pricingcall_indep_5q,global,1.2,0.01,cat,5,35,38,2,2,-0.21000000000000002,-2.7755575615628914e-17,-0.03166666666666665,0.21,0.17833333333333337,0.1507936507936506,0.002290964126586914,200,
pricingcall_indep_5q,global,1.2,0.01,cat,5,35,33,4,4,-0.18000000000000002,5.551115123125783e-17,-0.045000000000000276,0.18000000000000008,0.13499999999999973,0.25000000000000183,0.0024178028106689453,200,
pricingcall_indep_5q,global,1.0,0.02,cat,5,35,38,2,2,-0.32,0.12000000000000005,-0.17833333333333337,0.44000000000000006,0.14166666666666664,0.6780303030303032,0.0023980140686035156,200,
pricingcall_indep_5q,global,1.0,0.02,cat,5,35,33,4,4,-0.24000000000000005,0.04999999999999999,-0.34666666666666673,0.29000000000000004,0.10666666666666669,0.632183908045977,0.002307891845703125,200,
pricingcall_indep_5q,global,1.1,0.02,cat,5,35,38,2,2,-0.19999999999999998,0.05999999999999994,0.020000000000000004,0.2599999999999999,0.21999999999999997,0.1538461538461536,0.002259969711303711,200,
pricingcall_indep_5q,global,1.1,0.02,cat,5,35,33,4,4,-0.16,-0.03,-0.14833333333333348,0.13,0.01166666666666652,0.9102564102564114,0.002335071563720703,200,
pricingcall_indep_5q,global,1.2,0.02,cat,5,35,38,2,2,-0.27,-0.07999999999999999,-0.03999999999999998,0.19000000000000003,0.23000000000000004,-0.2105263157894737,0.0023298263549804688,200,
pricingcall_indep_5q,global,1.2,0.02,cat,5,35,33,4,4,-0.18,0.059999999999999956,0.05999999999999998,0.23999999999999994,0.23999999999999996,-1.1564823173178717e-16,0.0023241043090820312,200,
pricingcall_indep_9q,global,1.0,0.001,cat,9,82,111,2,2,-0.019999999999999976,0.030000000000000006,0.049999999999999975,0.04999999999999998,0.06999999999999995,-0.3999999999999995,0.0046999454498291016,200,
pricingcall_indep_9q,global,1.0,0.001,cat,9,82,111,4,4,0.09000000000000001,0.009999999999999985,-0.06999999999999999,0.08000000000000003,0.16,-0.9999999999999993,0.004897117614746094,200,
pricingcall_indep_9q,global,1.1,0.001,cat,9,82,111,2,2,-0.040000000000000015,-0.06999999999999998,-0.004999999999999986,0.029999999999999964,0.03500000000000003,-0.1666666666666691,0.0048580169677734375,200,
pricingcall_indep_9q,global,1.1,0.001,cat,9,82,111,4,4,0.09,0.019999999999999924,-0.030000000000000106,0.07000000000000008,0.1200000000000001,-0.714285714285714,0.009516000747680664,200,
pricingcall_indep_9q,global,1.2,0.001,cat,9,82,111,2,2,-0.020000000000000018,0.13,-0.0749999999999999,0.15000000000000002,0.05499999999999988,0.6333333333333342,0.008324146270751953,200,
pricingcall_indep_9q,global,1.2,0.001,cat,9,82,111,4,4,0.04999999999999998,0.07,0.04166666666666669,0.020000000000000025,0.00833333333333329,0.583333333333336,0.00817418098449707,200,
pricingcall_indep_9q,global,1.0,0.005,cat,9,82,111,2,2,0.020000000000000018,-0.06000000000000002,-0.07333333333333368,0.08000000000000004,0.0933333333333337,-0.1666666666666706,0.00918722152709961,200,
pricingcall_indep_9q,global,1.0,0.005,cat,9,82,111,4,4,0.06000000000000004,-0.04000000000000002,-0.08,0.10000000000000006,0.14000000000000004,-0.3999999999999996,0.009397029876708984,200,
pricingcall_indep_9q,global,1.1,0.005,cat,9,82,111,2,2,0.06999999999999992,0.05,0.03000000000000001,0.01999999999999992,0.03999999999999991,-1.0000000000000036,0.008063077926635742,200,
pricingcall_indep_9q,global,1.1,0.005,cat,9,82,111,4,4,0.09000000000000001,0.02,-1.734723475976807e-17,0.07,0.09000000000000002,-0.2857142857142859,0.008217811584472656,200,
pricingcall_indep_9q,global,1.2,0.005,cat,9,82,111,2,2,0.12000000000000001,0.010000000000000023,-0.12666666666666668,0.10999999999999999,0.2466666666666667,-1.242424242424243,0.009041070938110352,200,
pricingcall_indep_9q,global,1.2,0.005,cat,9,82,111,4,4,-0.01000000000000004,-0.08999999999999997,0.03499999999999999,0.07999999999999993,0.045000000000000026,0.4374999999999992,0.00936126708984375,200,
pricingcall_indep_9q,global,1.0,0.01,cat,9,82,111,2,2,0.09999999999999996,0.05999999999999997,-0.011666666666666792,0.039999999999999994,0.11166666666666676,-1.7916666666666694,0.00811314582824707,200,
pricingcall_indep_9q,global,1.0,0.01,cat,9,82,111,4,4,-0.04999999999999998,-0.09000000000000002,-0.06999999999999991,0.04000000000000004,0.019999999999999928,0.5000000000000023,0.009186029434204102,200,
pricingcall_indep_9q,global,1.1,0.01,cat,9,82,111,2,2,0.060000000000000026,0.07000000000000002,-0.010000000000000028,0.009999999999999995,0.07000000000000005,-6.000000000000008,0.009068012237548828,200,
